Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,4,399-1091-1-ND,C0603C103K5RACTU,CAP CER 10000PF 50V X7R 0603,"TIME CARD - C3, C4, C67, C76",4,0,0.1,0.40
2,1,609-5379-1-ND,10118192-0002LF,CONN RCPT USB2.0 MICRO B SMD R/A,TIME CARD - J2,1,0,0.42,0.42
3,1,P4.70KHCT-ND,ERJ-3EKF4701V,RES SMD 4.7K OHM 1% 1/10W 0603,TIME CARD - R22,1,0,0.1,0.10
4,1,P26.1KHCT-ND,ERJ-3EKF2612V,RES SMD 26.1K OHM 1% 1/10W 0603,TIME CARD - R5,1,0,0.1,0.10
5,4,A118077CT-ND,1909763-1,CONN UMCC JACK STR 50OHM SMD,"TIME CARD - AN5, AN6, AN7, AN8",4,0,0.46,1.84
6,11,P0.0JCT-ND,ERJ-2GE0R00X,RES SMD 0 OHM JUMPER 1/10W 0402,"TIME CARD - R[10-16, R32, R17, R23, R24",11,0,0.019,0.21
7,4,255-3246-1-ND,AXK680347YG,CONN HDR 80POS SMD GOLD,"TIME CARD - P1A, P1B, P1C, P1D",4,0,2.88,11.52
8,4,ARFX1232-ND,901-143-6RFX,CONN SMA JACK R/A 50 OHM PCB,"TIME CARD - AN1, AN2, AN3, AN4",4,0,7.94,31.76
9,2,399-5089-1-ND,C0603C104K5RACTU,CAP CER 0.1UF 50V X7R 0603,"TIME CARD - C19, C21",2,0,0.12,0.24
10,15,490-12323-6-ND,GRT188R61E106ME13D,CAP CER 10UF 25V X5R 0603,"TIME CARD-C[5-8,1,13,14,55,56,58,60,62,87,89,92]",15,0,0.81667,12.25
11,2,587-2985-1-ND,TMK212BBJ106KG-T,CAP CER 10UF 25V X5R 0805,"TIME CARD - C55, C92",2,0,0.2,0.40
12,2,445-12207-1-ND,CGA2B3X5R1H333K050BB,CAP CER 0.033UF 50V X5R 0402,"TIME CARD - C20, C22",2,0,0.1,0.20
13,4,490-9952-1-ND,GRM219R61C226ME15L,CAP CER 22UF 16V X5R 0805,"TIME CARD - C72, C73, C74, C75",4,0,0.52,2.08
14,2,399-1053-1-ND,C0603C220J5GACTU,CAP CER 22PF 50V C0G/NP0 0603,"TIME CARD - C85, C86",2,0,0.15,0.30
15,4,SMCJ6.5CALFCT-ND,SMCJ6.5CA,TVS DIODE 6.5V 11.2V DO214AB,"TIME CARD - D15, D16, D17, D18",4,0,0.61,2.44
16,1,CP-002A-ND,PJ-002A,CONN PWR JACK 2X5.5MM SOLDER,TIME CARD - J1,1,0,0.6,0.60
17,2,445-1565-1-ND,MPZ1608S221ATA00,FERRITE BEAD 220 OHM 0603 1LN,"TIME CARD - FB2, FB3",2,0,0.1,0.20
18,4,BAT54SWQ-7-FDICT-ND,BAT54SWQ-7-F,DIODE ARRAY SCHOTTKY 30V SOT323,"TIME CARD - D5, D6, D7, D8",4,0,0.32,1.28
19,1,SF-0603S200-2CT-ND,SF-0603S200-2,FUSE BOARD MOUNT 2A 32VDC 0603,TIME CARD - F1,1,0,0.8,0.80
20,1,A31727CT-ND,1734035-2,CONN RCPT USB2.0 MINI B SMD R/A,TIME CARD - J3,1,0,1.66,1.66
21,4,541-33.0CCT-ND,CRCW080533R0FKEA,RES SMD 33 OHM 1% 1/8W 0805,"TIME CARD - R18, R19, R20, R21",4,0,0.1,0.40
22,2,P2.20KHCT-ND,ERJ-3EKF2201V,RES SMD 2.2K OHM 1% 1/10W 0603,"TIME CARD - R8, R9",2,0,0.1,0.20
23,1,CKC5106-ND,L101011MS02Q,SWITCH SLIDE SPST 4A 125V,TIME CARD - SW1,1,0,1.83,1.83
24,2,SW1020CT-ND,B3U-1000P,SWITCH TACTILE SPST-NO 0.05A 12V,"TIME CARD - S5, S6",2,0,0.92,1.84
25,1,1888-1000-1-ND,BNO080,IMU ACCEL/GYRO/MAG I2C 32BIT,TIME CARD - U8,1,0,12.26,12.26
26,1,WM24007CT-ND,0529910208,CONN RCPT 20POS SMD GOLD,TIME CARD - U10B,1,0,1.28,1.28
27,2,768-1135-1-ND,FT230XS-R,IC USB SERIAL BASIC UART 16SSOP,"TIME CARD - U6, U16",2,0,2.04,4.08
28,2,P1.00KHCT-ND,ERJ-3EKF1001V,RES SMD 1K OHM 1% 1/10W 0603,"TIME CARD - R34, R35",2,0,0.1,0.20
29,2,1589-1524-1-ND,MP1482DS-LF-Z,IC REG BUCK ADJUSTABLE 2A 8SOIC,"TIME CARD - U1, U2",2,0,2.92,5.84
30,1,SAM14025CT-ND,HTST-105-01-L-DV-A-P-TR,CONN HEADER SMD 10POS 2.54MM,TIME CARD - U5,1,0,3.45,3.45
31,2,672-RCB-F9T-ND,RCB-F9T,ZED-F9T TIMING BOARD,"TIME CARD - GPS1, GPS2",2,0,278.44,556.88
32,2,SAM11876-ND,SQW-104-01-F-D-VS,CONN RCPT 8POS 0.079 GOLD SMD,"TIME CARD - U9, U14",2,0,1.62,3.24
33,2,SRR1240-100MCT-ND,SRR1240-100M,FIXED IND 10UH 4A 32 MOHM SMD,"TIME CARD - L1, L2",2,0,1.09,2.18
34,2,WM10869-ND,0455580003,CONN HEADER R/A 6POS 4.2MM,TIME CARD - J2,2,0,0.85,1.70
35,4,399-15436-1-ND,C0805C105K5PAC7800,CAP CER 1UF 50V X5R 0805,"TIME CARD - C54, C91, C65, C84",4,0,0.35,1.40
36,1,535-10241-1-ND,ABS25-32.768KHZ-6-1-T,CRYSTAL 32.7680KHZ 6PF SMD,TIME CARD - X1,1,0,0.67,0.67
37,3,NRVTS245ESFT1GOSCT-ND,NRVTS245ESFT1G,DIODE SCHOTTKY 45V 2A SOD123FL,"TIME CARD - D1, D2, D3",3,0,0.33,0.99
38,1,732-12325-1-ND,79527141,BATTERY HOLDER COIN 20MM SMD,TIME CARD - BT1,1,0,1.86,1.86
39,1,828-1079-1-ND,BMP388,SENSOR PRESSURE ABS,TIME CARD - IC?,1,0,3.47,3.47
40,2,SAM1038-03-ND,TSW-103-08-G-S,CONN HEADER VERT 3POS 2.54MM,"TIME CARD - JP1, JP2",2,0,0.39,0.78
41,1,DS3231SN#T&RCT-ND,DS3231SN#T&R,IC RTC CLK/CALENDAR I2C 16-SOIC,TIME CARD - U5,1,0,8.82,8.82
42,31,445-6899-1-ND,CGA2B3X7R1H104K050BB,CAP CER 0.1UF 50V X7R 0402,"C[2,9,10-12,15-18,44-53,77-83,57,59,61,63,88,90]",31,0,0.107,3.32
43,7,67-1548-1-ND,SML-LX0603IW-TR,LED RED DIFFUSED SMD,"TIME CARD - D4, D9, D10, D11, D12, D13, D14",7,0,0.36,2.52
44,5,P200HCT-ND,ERJ-3EKF2000V,RES SMD 200 OHM 1% 1/10W 0603,"TIME CARD - R1, R28, R29, R30, R31",5,0,0.1,0.50
45,7,P10.0KHCT-ND,ERJ-3EKF1002V,RES SMD 10K OHM 1% 1/10W 0603,"TIME CARD - R6, R7, R27, R32, R33, R42, R43",7,0,0.1,0.70
46,2,P499LCT-ND,ERJ-2RKF4990X,RES SMD 499 OHM 1% 1/10W 0402,"TIME CARD - R25, R26",2,0,0.1,0.20
47,3,P47.0KHCT-ND,ERJ-3EKF4702V,RES SMD 47K OHM 1% 1/10W 0603,"TIME CARD -  R2, R3, R4",3,0,0.1,0.30